observation_date,CSUSHPISA,Crime Rate,Tax,Population ,Pollution,Avg. Area occupied,Interest Rate,Inflation
2002-01-01,117.14300000000000,469,5.16,0.54000,19.45,2114,4.7,1.59
2002-02-01,117.84400000000000,469,5.16,0.54707,19.45,2114,4.7,1.59
2002-03-01,118.68700000000000,469,5.16,0.54745,19.45,2114,4.7,1.59
2002-04-01,119.61100000000000,469,5.16,0.54809,19.45,2114,4.7,1.59
2002-05-01,120.72400000000000,469,5.16,0.54852,19.45,2114,4.7,1.59
2002-06-01,121.81300000000000,469,5.16,0.54877,19.45,2114,4.7,1.59
2002-07-01,122.88800000000000,469,5.16,0.54895,19.45,2114,4.7,1.59
2002-08-01,123.83100000000000,469,5.16,0.54952,19.45,2114,4.7,1.59
2002-09-01,124.78000000000000,469,5.16,0.55010,19.45,2114,4.7,1.59
2002-10-01,125.73400000000000,469,5.16,0.55038,19.45,2114,4.7,1.59
2002-11-01,126.66900000000000,469,5.16,0.55069,19.45,2114,4.7,1.59
2002-12-01,127.62200000000000,469,5.16,0.54878,19.45,2114,4.7,1.59
2003-01-01,128.46100000000000,471.8,5.74,0.54913,19.51,2137,4.1,2.27
2003-02-01,129.35500000000000,471.8,5.74,0.54932,19.51,2137,4.1,2.27
2003-03-01,130.14800000000000,471.8,5.74,0.54958,19.51,2137,4.1,2.27
2003-04-01,130.88400000000000,471.8,5.74,0.55151,19.51,2137,4.1,2.27
2003-05-01,131.73500000000000,471.8,5.74,0.55208,19.51,2137,4.1,2.27
2003-06-01,132.64900000000000,471.8,5.74,0.55252,19.51,2137,4.1,2.27
2003-07-01,133.77600000000000,471.8,5.74,0.55297,19.51,2137,4.1,2.27
2003-08-01,134.96800000000000,471.8,5.74,0.55373,19.51,2137,4.1,2.27
2003-09-01,136.29400000000000,471.8,5.74,0.55442,19.51,2137,4.1,2.27
2003-10-01,137.53200000000000,471.8,5.74,0.55480,19.51,2137,4.1,2.27
2003-11-01,138.79400000000000,471.8,5.74,0.55504,19.51,2137,4.1,2.27
2003-12-01,140.18000000000000,471.8,5.74,0.55577,19.51,2137,4.1,2.27
2004-01-01,141.64600000000000,431.9,5.72,0.55628,19.6,2140,4.3,2.68
2004-02-01,143.19200000000000,431.9,5.72,0.55657,19.6,2140,4.3,2.68
2004-03-01,145.05900000000000,431.9,5.72,0.55673,19.6,2140,4.3,2.68
2004-04-01,146.59200000000000,431.9,5.72,0.55640,19.6,2140,4.3,2.68
2004-05-01,148.18500000000000,431.9,5.72,0.55679,19.6,2140,4.3,2.68
2004-06-01,149.85000000000000,431.9,5.72,0.55682,19.6,2140,4.3,2.68
2004-07-01,151.33800000000000,431.9,5.72,0.55652,19.6,2140,4.3,2.68
